102123.0 112000.0 90 40 48 44 1 111 48 40 -1 2377

3 102122.92090076514 19317762.4761 10461335.4467 14940335.366
11 102122.92823233681 7356582.29855 -24185459.7962 8171495.49286
14 102122.9325292086 15330171.0942 -12445616.9168 17774182.9924
16 102122.91397653228 -12686443.5119 -23322841.9635 963483.795809
17 102122.93108970538 13772084.1026 -6593085.20174 21741435.883
20 102122.93060075484 18084897.9513 -4974608.35112 18815388.5186
23 102122.91547972655 4852973.9719 -23720818.8854 -10936201.4564
3 102232.66093632569 19023393.8703 10637324.0068 15191673.0774
11 102232.66810978233 7631214.53225 -24207606.2554 7847641.13661
14 102232.67251827728 15675467.95 -12303298.9489 17570931.8702
16 102232.65418000153 -12464409.6525 -23425372.1352 1311312.16855
17 102232.6710156027 13973354.0956 -6218980.80279 21723230.8912
20 102232.67052241605 18004913.9324 -4594342.0983 18988001.5334
23 102232.65574216927 5141784.95726 -23797395.795 -10633678.0132
3 102342.40096739416 18724152.5055 10810587.849 15439119.4882
11 102342.40798291574 7903892.05375 -24223552.0437 7521776.65499
14 102342.41250359455 16016749.5849 -12157829.5445 17363180.0303
16 102342.39438311687 -12239183.072 -23521901.9665 1658804.65141
17 102342.41093935512 14171044.8695 -5843283.44563 21699461.5865
20 102342.41043960389 17920318.035 -4212899.0399 19155750.8457
23 102342.39600430084 5429278.88731 -23867877.0651 -10328430.7826
3 102452.1509939382 18420087.1104 10981098.0013 15682633.2225
11 102452.15785179121 8174569.58708 -24233293.6825 7193955.56169
14 102452.16248513432 16353959.117 -12009232.2851 17150961.1504
16 102452.14458588757 -12010800.5111 -23612414.7035 2005903.8395
17 102452.16086097997 14365123.3034 -5466054.92668 21670131.132
20 102452.16035236239 17831123.5931 -3830341.97755 19318608.1021
23 102452.14626608328 5715408.12652 -23932250.2283 -10020509.7784
2 102561.88400590784 19437285.7563 -10388244.0793 -14835950.0754
3 102561.89101592125 18111330.9803 11148779.7169 15922107.5303
11 102561.89771650059 8443128.47466 -24236826.9019 6864321.56497
14 102561.9024628771 16686948.7227 -11857572.3122 16934368.2625
16 102561.88478826739 -11779362.0873 -23696870.6678 2352457.57299
17 102561.90078051627 14555504.3188 -5087460.61317 21635252.3857
20 102561.90026076164 17737369.7076 -3446838.61431 19476501.9109
23 102561.8865274061 6000047.24259 -23990487.065 -9710049.98591
